trade_id,trade_date,action_open,action_close,Open,Close,entry_price,exit_price,previous_open,previous_close,previous_day_return,opening_gap,gross_trade_return,return_after_slippage,transaction_cost_return,net_trade_return,trade_outcome,portfolio_value,cumulative_return
62,2024-11-22,BUY_OPEN,SELL_CLOSE,198.25,197.1199951171875,198.2995625,197.0707151184082,203.4900054931641,198.3800048828125,-0.025111801427138203,-0.0006553325920588549,-0.00569989852616648,-0.006196924320454822,0.0005,-0.006696924320454822,LOSS,124669.36365919057,0.24669363659190569
63,2025-02-25,BUY_OPEN,SELL_CLOSE,211.6300048828125,212.8000030517578,211.68291238403322,212.74680305099488,217.4499969482422,212.7100067138672,-0.021798069905253792,-0.00507734378715663,0.005528507971226393,0.005025869376889425,0.0005,0.004525869376889424,WIN,125233.600914412,0.25233600914412
64,2025-02-28,BUY_OPEN,SELL_CLOSE,208.6499938964844,212.27999877929688,208.70215639495854,212.22692877960205,218.3500061035156,208.7400054931641,-0.044011909053007225,-0.00043121392311473716,0.01739757962616273,0.016889007979261406,0.0005,0.016389007979261405,WIN,127286.05539906994,0.2728605539906994
65,2025-03-04,BUY_OPEN,SELL_CLOSE,200.1100006103516,203.8000030517578,200.1600281105042,203.7490530509949,213.3500061035156,205.0200042724609,-0.03904383216662788,-0.023948900398929718,0.01843987022213489,0.017930777560189348,0.0005,0.017430777560189348,WIN,129504.75031724507,0.29504750317245065
66,2025-03-27,BUY_OPEN,SELL_CLOSE,200.88999938964844,201.3600006103516,200.94022188949586,201.30966061019902,205.83999633789065,201.1300048828125,-0.02288180887521296,-0.0011932853743223948,0.0023395949132913874,0.001838550376968895,0.0005,0.0013385503769688949,WIN,129678.09894960147,0.2967809894960147
67,2025-03-31,BUY_OPEN,SELL_CLOSE,188.19000244140625,190.259994506836,188.23704994201663,190.21242950820928,198.4199981689453,192.72000122070312,-0.028726927733306984,-0.0235055975020938,0.010999479454676386,0.010494106058297925,0.0005,0.009994106058297925,WIN,130974.11562394226,0.30974115623942255
68,2025-04-04,BUY_OPEN,SELL_CLOSE,167.14999389648438,171.0,167.1917813949585,170.95725000000002,183.0,178.41000366210938,-0.025081947201588073,-0.063113107642497,0.023033241065506305,0.022521852292166855,0.0005,0.022021852292166855,WIN,133858.4082523099,0.338584082523099
69,2025-04-11,BUY_OPEN,SELL_CLOSE,179.92999267578125,184.8699951171875,179.9749751739502,184.8237776184082,185.44000244140625,181.22000122070312,-0.02275669308210093,-0.007118466704736481,0.027455136122345847,0.02694153695407664,0.0005,0.02644153695407664,WIN,137397.83030072722,0.3739783030072721
70,2025-04-15,BUY_OPEN,SELL_CLOSE,181.4100036621093,179.58999633789062,181.45535616302485,179.54509883880615,186.83999633789065,182.1199951171875,-0.025262263504690297,-0.0038984816281230072,-0.01003256318548218,-0.010527423188888774,0.0005,-0.011027423188888774,LOSS,135882.68628076598,0.35882686280765985
71,2025-11-07,BUY_OPEN,SELL_CLOSE,242.8999938964844,244.4100036621093,242.96071889495855,244.34890116119377,249.1600036621093,243.0399932861328,-0.02456257138395268,-0.0005760343709505511,0.0062165903810949,0.005713607831541623,0.0005,0.005213607831541622,WIN,136591.1253181303,0.36591125318130313
72,2025-11-13,BUY_OPEN,SELL_CLOSE,243.0500030517578,237.5800018310547,243.11076555252077,237.52060683059693,250.2400054931641,244.1999969482422,-0.024136862261565528,-0.004709229774184309,-0.022505662012019312,-0.02299428702476014,0.0005,-0.02349428702476014,LOSS,133382.0142148712,0.3338201421487119
73,2025-11-14,BUY_OPEN,SELL_CLOSE,235.0599975585937,234.69000244140625,235.11876255798336,234.6313299407959,243.0500030517578,237.5800018310547,-0.022505662012019312,-0.010606971348762761,-0.0015740454395912762,-0.002073133644820313,0.0005,-0.002573133644820313,LOSS,133038.80446648103,0.3303880446648102
74,2025-11-21,BUY_OPEN,SELL_CLOSE,216.3500061035156,220.69000244140625,216.40409360504148,220.6348299407959,227.0500030517578,217.13999938964844,-0.04364678938079691,-0.003638174856559817,0.02006007032795787,0.019550167768433768,0.0005,0.019050167768433768,WIN,135573.21601127935,0.3557321601127934
75,2026-02-05,BUY_OPEN,SELL_CLOSE,224.9100036621093,222.69000244140625,224.96623116302484,222.6343299407959,238.8600006103516,232.9900054931641,-0.02457504438662017,-0.034679607024138526,-0.009870620179430634,-0.010365561134102363,0.0005,-0.010865561134102364,LOSS,134100.1369445619,0.3410013694456191
76,2026-02-13,BUY_OPEN,SELL_CLOSE,198.8800048828125,198.7899932861328,198.92972488403322,198.74029578781128,203.9600067138672,199.6000061035156,-0.02137674282619617,-0.0036072204343005065,-0.0004525924902945011,-0.0009522412818515624,0.0005,-0.0014522412818515624,LOSS,133905.39118978908,0.3390539118978908
77,2026-06-11,BUY_OPEN,SELL_CLOSE,237.92999267578125,241.509994506836,237.9894751739502,241.4496170082093,243.6100006103516,238.0,-0.023028613752703264,-0.00029414842108721473,0.015046450389855082,0.014539054013754216,0.0005,0.014039054013754215,WIN,135785.29620943542,0.35785296209435424
78,2026-06-23,BUY_OPEN,SELL_CLOSE,232.5500030517578,234.1100006103516,232.60814055252078,234.051473110199,240.0800018310547,232.7899932861328,-0.030364913734263865,-0.0010309302001655363,0.006708224201771307,0.006204995896746501,0.0005,0.005704995896746501,WIN,136559.95076714878,0.36559950767148774
79,2026-07-17,BUY_OPEN,SELL_CLOSE,244.4600067138672,247.22999572753903,244.52112171554566,247.16818822860716,255.1199951171875,249.88999938964844,-0.02050014043445203,-0.021729531750145692,0.011331051859595265,0.010825512718450891,0.0005,0.010325512718450891,WIN,137970.002275626,0.3797000227562599
