classifier,regressor,probability_quantile,return_quantile,probability_threshold,return_threshold,precision,recall,f1,balanced_accuracy,roc_auc,total_return,sharpe_ratio,win_rate,maximum_drawdown,number_of_trades,excess_return,excess_sharpe,classification_pass,economic_pass,objective_score
HistGradientBoostingClassifier,RandomForestRegressor,0.25,0.6000000000000001,0.3305155800542801,-0.0003444737265971562,0.4594594594594595,0.3695652173913043,0.40963855421686746,0.49369980614788145,0.46086033416412814,-0.19556910892478718,-0.8182083838687961,0.4594594594594595,-0.3556727405508596,111,-0.2918167787151812,-2.6651033248679665,False,False,-1.2751811879250623
HistGradientBoostingClassifier,RandomForestRegressor,0.25,0.65,0.3305155800542801,-9.406458653044818e-05,0.45918367346938777,0.32608695652173914,0.3813559322033898,0.4942536693436721,0.46086033416412814,-0.18595482192682244,-0.8121351135982781,0.45918367346938777,-0.34797195821929605,98,-0.28220249171721645,-2.6590300545974483,False,False,-1.2247264242537321
HistGradientBoostingClassifier,RandomForestRegressor,0.25,0.7000000000000001,0.3305155800542801,7.027969620944319e-05,0.4588235294117647,0.2826086956521739,0.34977578475336324,0.49480753253946275,0.46086033416412814,-0.14788311157352085,-0.6259419605593439,0.4588235294117647,-0.31747755395580946,85,-0.24413078136391486,-2.472836901558514,False,False,-0.946758261155709
HistGradientBoostingClassifier,RandomForestRegressor,0.25,0.75,0.3305155800542801,0.00034239684050220475,0.4714285714285714,0.2391304347826087,0.3173076923076923,0.5017308224868458,0.46086033416412814,-0.10439094929086534,-0.41459414931422833,0.4714285714285714,-0.27920060688688453,70,-0.20063861908125935,-2.2614890903133986,False,False,-0.6244039236734922
HistGradientBoostingClassifier,RandomForestRegressor,0.25,0.8,0.3305155800542801,0.0006157744171689808,0.4642857142857143,0.18840579710144928,0.26804123711340205,0.4986614972768393,0.46086033416412814,-0.060762008518346344,-0.21170138001715175,0.4642857142857143,-0.24295191252680792,56,-0.15700967830874035,-2.058596321016322,False,False,-0.3143731527168304
HistGradientBoostingClassifier,RandomForestRegressor,0.30000000000000004,0.0,0.3584787872911696,-0.006771974110182478,0.44660194174757284,0.6666666666666666,0.5348837209302325,0.470276008492569,0.46086033416412814,-0.3357014591017248,-1.3100799852896676,0.44660194174757284,-0.44111687897274665,206,-0.4319491288921188,-3.1569749262888376,False,False,-2.2396125902720123
HistGradientBoostingClassifier,RandomForestRegressor,0.30000000000000004,0.05,0.3584787872911696,-0.004807381007318475,0.45544554455445546,0.6666666666666666,0.5411764705882353,0.4830148619957537,0.46086033416412814,-0.3016569084763223,-1.1431633374357633,0.45544554455445546,-0.4143868315313761,202,-0.3979045782667163,-2.990058278434933,False,False,-1.9718193466295502
HistGradientBoostingClassifier,RandomForestRegressor,0.30000000000000004,0.1,0.3584787872911696,-0.0036120599840543453,0.4666666666666667,0.6594202898550725,0.5465465465465466,0.49849995384473367,0.46086033416412814,-0.2537535578750114,-0.9236643463321181,0.4666666666666667,-0.37257376414864174,195,-0.3500012276654054,-2.770559287331288,False,False,-1.6006206720304892
HistGradientBoostingClassifier,RandomForestRegressor,0.30000000000000004,0.15000000000000002,0.3584787872911696,-0.0030473106647234,0.4603174603174603,0.6304347826086957,0.5321100917431193,0.49037662697313766,0.46086033416412814,-0.26651478324008704,-1.00080796061226,0.4603174603174603,-0.38833350120094323,189,-0.36276245303048105,-2.84770290161143,False,False,-1.713009831782101
HistGradientBoostingClassifier,RandomForestRegressor,0.30000000000000004,0.2,0.3584787872911696,-0.002630929774753457,0.453551912568306,0.6014492753623188,0.5171339563862928,0.48225330010154155,0.46086033416412814,-0.2752835289477543,-1.0545239822372525,0.453551912568306,-0.38081797859061595,183,-0.3715311987381483,-2.901418923236423,False,False,-1.7919833408872936
HistGradientBoostingClassifier,RandomForestRegressor,0.30000000000000004,0.25,0.3584787872911696,-0.002214238866954062,0.45454545454545453,0.5797101449275363,0.5095541401273885,0.484122588387335,0.46086033416412814,-0.25117456956902895,-0.9393085654342679,0.45454545454545453,-0.3602198070318523,176,-0.34742223935942296,-2.786203506433438,False,False,-1.6111131660996691
HistGradientBoostingClassifier,RandomForestRegressor,0.30000000000000004,0.30000000000000004,0.3584787872911696,-0.0018979139170645326,0.45454545454545453,0.5434782608695652,0.49504950495049505,0.48511492661312655,0.46086033416412814,-0.22400595032378767,-0.8446377736470401,0.45454545454545453,-0.3735927899137865,165,-0.3202536201141817,-2.6915327146462102,False,False,-1.4226311171665729
HistGradientBoostingClassifier,RandomForestRegressor,0.30000000000000004,0.35000000000000003,0.3584787872911696,-0.0016521200777500264,0.445859872611465,0.5072463768115942,0.4745762711864407,0.4765531247115296,0.46086033416412814,-0.24120651317621844,-0.9370523318471069,0.445859872611465,-0.3763089590801778,157,-0.33745418296661245,-2.783947272846277,False,False,-1.5693376688085812
HistGradientBoostingClassifier,RandomForestRegressor,0.30000000000000004,0.4,0.3584787872911696,-0.0014593281201654275,0.46308724832214765,0.5,0.4808362369337979,0.49522292993630573,0.46086033416412814,-0.17058331733769738,-0.6113315215849436,0.46308724832214765,-0.33381436549844934,149,-0.2668309871280914,-2.458226462584114,False,False,-1.02427072266899
HistGradientBoostingClassifier,RandomForestRegressor,0.30000000000000004,0.45,0.3584787872911696,-0.0012548995735889726,0.4642857142857143,0.47101449275362317,0.4676258992805755,0.4966537431920982,0.46086033416412814,-0.16353284911489807,-0.590336060756453,0.4642857142857143,-0.3543656519234132,140,-0.2597805189052921,-2.437231001755623,False,False,-0.9827966288930994
HistGradientBoostingClassifier,RandomForestRegressor,0.30000000000000004,0.5,0.3584787872911696,-0.0010124620730135524,0.4732824427480916,0.4492753623188406,0.46096654275092935,0.504892458229484,0.46086033416412814,-0.12357978182182339,-0.42024509869712307,0.4732824427480916,-0.3347603140150299,131,-0.2198274516122174,-2.2671400396962933,False,False,-0.6839396077275197
HistGradientBoostingClassifier,RandomForestRegressor,0.30000000000000004,0.55,0.3584787872911696,-0.0006060445721779821,0.47058823529411764,0.4057971014492754,0.4357976653696498,0.5022616080494784,0.46086033416412814,-0.15898795577364078,-0.6229882228076105,0.47058823529411764,-0.32727271142185965,119,-0.2552356255640348,-2.469883163806781,False,False,-0.9739305885159292
